Date,Open,High,Low,Close,Volume,MarketCap
2014-01-01,20968.082996411034,20829.91171069015,20870.791135428568,20945.270521984607,19033,3986513.3384493305
2014-01-02,19522.47194008754,19797.146770887925,19423.537425631155,19674.704767049698,36088,7100207.456332895
2014-01-03,20701.45138135251,20785.33115376397,20329.565015906777,20650.36962066113,44465,9182186.851826971
2014-01-04,20938.4878660132,20980.01940620715,20754.12859635343,20866.669464301012,18527,3865967.8516510488
2014-01-05,20456.964154911486,20312.142864650312,20309.665064519202,20509.47348177957,12964,2658848.1421779036
2014-01-06,18366.968307306848,18389.01957503461,18311.26281467504,18415.58321954359,42005,7735465.731369286
2014-01-07,20641.61704531475,20689.320616418798,20667.909262005483,20664.129714703664,20698,4277061.568349364
2014-01-08,22679.13836388375,22846.104458175483,22469.264197777753,22716.93856485658,5406,1228077.6988161467
2014-01-09,20155.095126013748,20272.832672880715,20106.111530352056,20143.898782316417,30002,6043572.512670572
2014-01-10,19679.077248943722,19859.381134064548,19522.85043592448,19776.403513261666,29682,5870032.090806328
2014-01-11,20821.469372733733,21040.890306795965,20647.511620158664,20877.36575313557,8591,1793574.491851877
2014-01-12,20892.889534145925,20813.30543660689,20654.52604774146,20815.92967413718,4119,857408.1432777104
2014-01-13,21650.117592991184,21857.552091927988,21413.63111573315,21696.528591358587,22873,4962646.984701449
2014-01-14,19306.183403693773,19391.486200272615,18920.77738647005,19244.011989788625,37279,7173975.229673302
2014-01-15,21249.302390219502,21369.290953723787,21149.059816736426,21231.535480439994,37596,7982208.07922622
2014-01-16,20999.551615857807,21171.810958478654,21070.894413428865,21090.01500158722,17949,3785446.79263489
2014-01-17,20388.20003203569,20639.507954758006,20442.860556000527,20356.43357227488,8651,1761035.0683374999
2014-01-18,20831.698309360065,20986.901243318694,20513.11344892668,20837.581674469708,27896,5812851.78391007
2014-01-19,21504.670461258367,21530.6102277455,21471.4120149627,21527.443814070855,32660,7030863.149675541
2014-01-20,21381.13726345821,21493.71995637321,21155.38572308944,21368.889408799612,42860,9158706.000611514
2014-01-21,19378.752039744697,19530.268703173777,19329.145902217304,19355.020365466356,11370,2200665.815553525
2014-01-22,21353.351679093816,21359.161228102654,21064.14552390388,21317.972087995084,45552,9710762.64552352
2014-01-23,20492.105466789166,20642.120049104877,20403.204583593306,20433.192824411766,36539,7466084.326111815
2014-01-24,20589.73757491251,20707.534149845193,20588.502692635324,20569.33077927359,7777,1599676.8547041072
2014-01-25,20500.327585095925,20434.86145576871,20489.95993263062,20569.109289535245,1113,228934.18639252725
2014-01-26,20322.097959442435,20475.74743005879,20298.95780242116,20345.780232324996,1531,311493.8953568957
2014-01-27,21833.73214141633,21745.97680921163,21526.94974610678,21686.5797246529,10714,2323500.1516993116
2014-01-28,20447.754518734055,20565.247947169144,20316.669458434222,20411.52996571497,4410,900148.4714880302
2014-01-29,19493.56552353167,19569.522642516276,19212.330919035903,19375.101158491096,10236,1983235.3545831486
2014-01-30,20170.5974412647,20220.341941868923,20029.92788446327,20100.82573715474,25608,5147419.4547705855
2014-01-31,20684.5387069005,20938.973826717185,20638.959340424597,20672.448603322715,9324,1927499.10777381
2014-02-01,21739.891302482858,21806.95026053745,21683.17700378341,21724.8209489938,12159,2641520.9791881563
2014-02-02,21096.858350427,21261.16913472623,20794.19347261774,21098.687352420842,35494,7488768.088868253
2014-02-03,19557.109447003688,19824.493935159746,19521.482584573318,19643.99967779601,41985,8247533.264722655
2014-02-04,22981.44978075746,23070.812821244774,23078.923639079352,22980.547418134047,33107,7608169.833721639
2014-02-05,20819.445696410276,20936.789399580943,20710.932870128574,20758.911968783166,36416,7559565.382552078
2014-02-06,21739.754259658148,21810.26896068299,21660.04965615162,21769.736259399207,32835,7148092.90077373
2014-02-07,20361.269067652174,20398.41457579696,20056.131449574044,20340.671417699083,46600,9478752.880647773
2014-02-08,21066.996462227526,20993.168040899232,20821.547038343873,21024.416909932865,10453,2197682.2995952824
2014-02-09,21285.239009016062,21454.863942618693,21322.89481462988,21330.723030981688,35833,7643437.983691668
2014-02-10,21687.62256158035,21842.712872382966,21368.352129440285,21710.187704797532,28921,6278803.386104494
2014-02-11,21498.637092178837,21767.458982560616,21452.64870318284,21549.532666702693,1933,416552.466447363
2014-02-12,21323.13743278059,21543.359713550646,21139.612732007565,21364.24571311506,32008,6838267.767853868
2014-02-13,20112.28061396973,20248.18132248764,20192.161727892373,20176.660878152383,2050,413621.54800212383
2014-02-14,19873.500622331158,19900.705076666633,20058.33935492515,19918.52304540006,26392,5256896.602141984
2014-02-15,20893.129537511817,20965.441793723923,20862.99990250876,20822.156753471925,33177,6908166.94609938
2014-02-16,21376.442825263322,21633.2919939593,21647.25002433741,21422.21667671784,40884,8758259.066109322
2014-02-17,20273.747986779414,20442.943523206774,19956.216093101088,20267.42502582638,23851,4833983.542909849
2014-02-18,21530.517872923392,21764.10906309267,21434.208018718302,21555.66131060694,12106,2609528.3582620765
2014-02-19,22000.28634707522,22020.154097103547,21933.807452068173,21941.34305022337,7878,1728539.0054965974
2014-02-20,19638.28758446335,19626.067572815602,19427.467066635156,19572.729469633166,1792,350743.3120958263
2014-02-21,19694.948101736838,19678.05446740671,19532.811199011874,19651.74460262989,12367,2430331.2550072386
2014-02-22,20362.920053175665,20442.02367885917,20185.51998595913,20347.613325520528,39731,8084310.250362561
2014-02-23,20784.659752061856,20888.35364930702,20575.259588790275,20796.2127289039,10547,2193376.556517495
2014-02-24,19905.470311260593,20085.731809324065,19894.056161772656,19965.064046470154,35153,7018318.964255653
2014-02-25,21939.94146327957,21929.83527351991,21830.74894983356,21842.76501922346,29568,6458468.760883993
2014-02-26,20875.80633346392,21000.427211378872,20731.012462914357,20913.789984351548,43331,9062154.338119369
2014-02-27,20562.043276049626,20551.191553400768,20348.627680909536,20528.860958697984,25307,5195238.842817699
2014-02-28,19106.813928651292,19247.997551375272,18943.762069207987,19053.835650020123,5138,978986.0756980339
2014-03-01,19147.140877742997,19282.556708812634,18857.149483720186,19174.904902588263,48112,9225430.246733265
2014-03-02,20823.15142142553,20853.806401631202,20715.033007345897,20771.250795059732,8693,1805644.8316145425
2014-03-03,18395.67091981337,18382.717334321504,18347.446056809953,18357.460259646425,12394,2275223.624580578
2014-03-04,21587.985152240413,21468.39564943222,21359.777817720667,21501.586960471326,24876,5348734.772286847
2014-03-05,20306.132176509516,20560.395919085786,20297.0932855222,20329.599499830852,40095,8151152.91945718
2014-03-06,23667.365638756317,23887.122710433487,23582.107187205816,23731.658839620304,4353,1033039.1092886719
2014-03-07,22772.563872898027,22735.446576413255,22781.139186254197,22797.838360670252,47132,10745077.176151104
